wellName,datasetName,Depth,AC,CAL,CNL,DEN,GR,RT,RXO
,,M,us/ft,in,%,g/cm3,API,ohm.m,ohm.m
Ags1,wire-cg,3076,56.92100143,8.711000443,7.776000023,2.700000048,39.21500015,52.91999817,47.237
Ags1,wire-cg,3076.125,57.99300003,8.717000008,10.09599972,2.691999912,42.82899857,34.31299973,31.115
Ags1,wire-cg,3076.25,58.91699982,8.732999802,11.13099957,2.676000118,44.80099869,26.05999947,23.572
Ags1,wire-cg,3076.375,59.41799927,8.741000175,12.21899986,2.66899991,45.16699982,24.6079998,22.266
Ags1,wire-cg,3076.5,59.54299927,8.751000404,11.7869997,2.663000107,45.11999893,24.56299973,22.324
Ags1,wire-cg,3076.625,59.45100021,8.748999596,11.20300007,2.664000034,45.04199982,25.56900024,23.294
Ags1,wire-cg,3076.75,59.18399811,8.737000465,9.920000076,2.665999889,44.79000092,29.05999947,26.627
Ags1,wire-cg,3076.875,58.91400146,8.727000237,9.06099987,2.667000055,43.36000061,32.7120018,30.279
Ags1,wire-cg,3077,58.75400162,8.725999832,8.928999901,2.670000076,42.27799988,33.69100189,31.33
Ags1,wire-cg,3077.125,58.73799896,8.730999947,9.241000175,2.671999931,41.52099991,33.33200073,31.032
Ags1,wire-cg,3077.25,58.76800156,8.737999916,9.833999634,2.673000097,44.35200119,31.25200081,28.835
Ags1,wire-cg,3077.375,58.81100082,8.743000031,10.01900005,2.66899991,46.32099915,30.12700081,27.677
Ags1,wire-cg,3077.5,58.78300095,8.75,10,2.667000055,48.76800156,28.03199959,25.674
Ags1,wire-cg,3077.625,58.69800186,8.751999855,9.87899971,2.667999983,48.47100067,26.97200012,24.599
Ags1,wire-cg,3077.75,58.49200058,8.751999855,9.67800045,2.671999931,47.69400024,27.28899956,24.793
Ags1,wire-cg,3077.875,58.21099854,8.748000145,9.423000336,2.673000097,45.35599899,29.39500046,26.59
Ags1,wire-cg,3078,57.92300034,8.744999886,9.206999779,2.671000004,42.46699905,32.19300079,29.092
Ags1,wire-cg,3078.125,57.66899872,8.744999886,8.741999626,2.66899991,41.4659996,33.67399979,30.417
Ags1,wire-cg,3078.25,57.5019989,8.74600029,8.536000252,2.66899991,41.5359993,36.75299835,33.311
Ags1,wire-cg,3078.375,57.32799911,8.746999741,8.538999557,2.671999931,42.48899841,38.10900116,34.692
Ags1,wire-cg,3078.5,57.17699814,8.74600029,8.458000183,2.671999931,44.71699905,39.95399857,36.74
Ags1,wire-cg,3078.625,57.02700043,8.744999886,7.994999886,2.667000055,45.90100098,41.43299866,38.365
Ags1,wire-cg,3078.75,56.875,8.744999886,7.688000202,2.661000013,46.17399979,42.44599915,39.38
Ags1,wire-cg,3078.875,56.74700165,8.748000145,7.206999779,2.661000013,46.51699829,44.90999985,41.763
Ags1,wire-cg,3079,56.64199829,8.753000259,7.068999767,2.664999962,46.75400162,46.47900009,43.368
Ags1,wire-cg,3079.125,56.57400131,8.755999565,7.114999771,2.670000076,46.30099869,46.20600128,43.229
Ags1,wire-cg,3079.25,56.49399948,8.760000229,7.309000015,2.671999931,43.99300003,43.05400085,40.465
Ags1,wire-cg,3079.375,56.38600159,8.758999825,7.427999973,2.677000046,42.01599884,38.60100174,36.064
Ags1,wire-cg,3079.5,56.20000076,8.755999565,7.563000202,2.678999901,41.67599869,37.14699936,34.446
Ags1,wire-cg,3079.625,55.91699982,8.746999741,7.214000225,2.678999901,41.41500092,37.22700119,34.004
Ags1,wire-cg,3079.75,55.59199905,8.741999626,6.828999996,2.674999952,40.32500076,39.06399918,35.523
Ags1,wire-cg,3079.875,55.23699951,8.732999802,5.926000118,2.671999931,39.79999924,46.89699936,43.131
Ags1,wire-cg,3080,54.98899841,8.725000381,5.376999855,2.667999983,39.64599991,57.69599915,55.345
Ags1,wire-cg,3080.125,54.81499863,8.722000122,5.368000031,2.66899991,39.72999954,61.95999908,60.957
Ags1,wire-cg,3080.25,54.8390007,8.718999863,5.823999882,2.670000076,39.88499832,64.66200256,66.477
Ags1,wire-cg,3080.375,54.95000076,8.720000267,6.559000015,2.674000025,40.6570015,60.90100098,64.293
Ags1,wire-cg,3080.5,55.16600037,8.720999718,6.835000038,2.680000067,41.23600006,58.09400177,61.782
Ags1,wire-cg,3080.625,55.36199951,8.725999832,6.960000038,2.681999922,41.71099854,52.37799835,56.113
Ags1,wire-cg,3080.75,55.50400162,8.729999542,6.868000031,2.683000088,41.70000076,48.03499985,51.291
Ags1,wire-cg,3080.875,55.48400116,8.732000351,6.565999985,2.674000025,42.00400162,47.0719986,50.029
Ags1,wire-cg,3081,55.27199936,8.734999657,6.151000023,2.667999983,42.40100098,48.19200134,50.763
Ags1,wire-cg,3081.125,54.9659996,8.736000061,5.822999954,2.657000065,41.37200165,53.79700089,56.074
Ags1,wire-cg,3081.25,54.52500153,8.734000206,4.923999786,2.654999971,40.69200134,58.92499924,61.013
Ags1,wire-cg,3081.375,54.14699936,8.729999542,4.118999958,2.660000086,39.92599869,73.47599792,75.504
Ags1,wire-cg,3081.5,53.77000046,8.727999687,3.878000021,2.674999952,39.43299866,80.73100281,82.907
Ags1,wire-cg,3081.625,53.54700089,8.725999832,3.721999884,2.681999922,37.31200027,88.70500183,90.7
Ags1,wire-cg,3081.75,53.38299942,8.725999832,3.854000092,2.688999891,34.83800125,87.8789978,88.12
Ags1,wire-cg,3081.875,53.26399994,8.727000237,3.951999903,2.684000015,34.40299988,86.68499756,85.712
Ags1,wire-cg,3082,53.13399887,8.725999832,4.118999958,2.680000067,35.63000107,86.3809967,83.623
Ags1,wire-cg,3082.125,52.99300003,8.723999977,4.177999973,2.66899991,37.31200027,89.6740036,86.154
Ags1,wire-cg,3082.25,52.8409996,8.722999573,4.15899992,2.65899992,37.48099899,93.24700165,89.449
Ags1,wire-cg,3082.375,52.72100067,8.723999977,4.019999981,2.65899992,36.35100174,104.0159988,99.861
Ags1,wire-cg,3082.5,52.63899994,8.729000092,3.927000046,2.667999983,35.12099838,114.7829971,110.862
Ags1,wire-cg,3082.625,52.67399979,8.730999947,3.849999905,2.678999901,35.24900055,118.5719986,114.921
Ags1,wire-cg,3082.75,52.84000015,8.732999802,4.004000187,2.680999994,36.50899887,123.9179993,120.753
Ags1,wire-cg,3082.875,53.06600189,8.732000351,4.149000168,2.677999973,37.86399841,125.8030014,123.028
Ags1,wire-cg,3083,53.4090004,8.727999687,4.559000015,2.676000118,38.13899994,123.663002,122.339
Ags1,wire-cg,3083.125,53.75500107,8.722000122,5.215000153,2.670000076,37.93899918,108.4489975,108.436
Ags1,wire-cg,3083.25,54.25,8.718999863,5.617000103,2.663000107,38.02899933,97.27999878,97.413
Ags1,wire-cg,3083.375,54.71900177,8.713000298,6.230999947,2.661000013,39.15299988,75.38500214,74.851
Ags1,wire-cg,3083.5,55.11299896,8.708000183,6.22300005,2.665999889,40.41799927,61.00899887,59.357
Ags1,wire-cg,3083.625,55.27399826,8.704000473,6.019999981,2.680999994,40.51800156,57.25299835,54.909
Ags1,wire-cg,3083.75,55.17100143,8.692000389,5.381000042,2.684999943,39.89899826,56.62599945,52.323
Ags1,wire-cg,3083.875,54.95600128,8.670999527,5.006000042,2.677000046,38.97999954,64.16400146,57.346
Ags1,wire-cg,3084,54.59600067,8.659999847,4.324999809,2.660000086,38.43199921,70.15000153,61.89
Ags1,wire-cg,3084.125,54.22100067,8.642000198,3.983999968,2.654000044,37.16600037,84.33399963,73.243
Ags1,wire-cg,3084.25,53.88299942,8.628000259,3.983999968,2.648000002,36.47999954,96.35600281,83.731
Ags1,wire-cg,3084.375,53.67399979,8.623000145,4.212999821,2.647000074,36.39699936,99.55999756,86.958
Ags1,wire-cg,3084.5,53.60499954,8.619999886,4.447000027,2.647000074,36.21300125,100.1149979,88.548
Ags1,wire-cg,3084.625,53.65200043,8.619999886,4.495999813,2.651000023,35.9640007,98.79499817,87.846
Ags1,wire-cg,3084.75,53.8429985,8.623000145,4.525000095,2.654999971,36.11999893,95.15499878,85.414
Ags1,wire-cg,3084.875,54.08800125,8.623000145,4.771999836,2.65899992,38.18099976,88.87599945,80.533
Ags1,wire-cg,3085,54.41699982,8.623000145,5.05700016,2.654000044,39.75400162,84.32700348,76.739
Ags1,wire-cg,3085.125,54.83499908,8.623000145,5.808000088,2.651000023,42.53699875,73.64399719,67.569
Ags1,wire-cg,3085.25,55.29199982,8.623000145,6.589000225,2.647000074,43.63199997,63.40299988,58.7
Ags1,wire-cg,3085.375,55.75400162,8.623999596,6.984000206,2.653000116,43.84899902,59.08000183,55.03
Ags1,wire-cg,3085.5,56.11600113,8.625,7.745999813,2.657000065,44.84799957,52.42499924,49.555
Ags1,wire-cg,3085.625,56.41199875,8.625,8,2.661000013,45.91999817,48.29199982,46.237
Ags1,wire-cg,3085.75,56.60100174,8.625,8.034000397,2.661999941,45.95600128,47.09199905,45.272
Ags1,wire-cg,3085.875,56.76699829,8.626000404,7.850999832,2.663000107,44.65000153,46.00600052,44.466
Ags1,wire-cg,3086,56.96300125,8.626000404,7.906000137,2.665999889,42.79399872,45.47299957,44.126
Ags1,wire-cg,3086.125,57.29999924,8.62899971,8.529999733,2.665999889,42.59999847,42.39300156,41.676
Ags1,wire-cg,3086.25,57.68700027,8.63599968,9.833999634,2.663000107,44.73099899,36.34600067,36.299
Ags1,wire-cg,3086.375,58.26800156,8.640000343,10.59799957,2.65899992,46.36299896,33.04399872,33.24
Ags1,wire-cg,3086.5,58.8429985,8.642000198,11.71899986,2.657999992,47.88700104,27.64500046,28.079
Ags1,wire-cg,3086.625,59.34400177,8.642000198,11.64500046,2.654999971,46.2879982,24.47200012,24.843
Ags1,wire-cg,3086.75,59.59799957,8.642000198,11.27200031,2.654000044,45.60800171,23.74799919,24.01
Ags1,wire-cg,3086.875,59.59799957,8.642999649,10.41699982,2.655999899,46.54600143,23.9470005,23.975
Ags1,wire-cg,3087,59.5019989,8.63599968,10.03999996,2.661999941,48.0019989,25.28300095,25.221
Ags1,wire-cg,3087.125,59.28699875,8.628000259,9.503000259,2.667000055,47.82799911,25.80500031,25.75
Ags1,wire-cg,3087.25,59.00500107,8.612999916,9.414999962,2.66899991,46.84400177,26.03800011,25.999
Ags1,wire-cg,3087.375,58.6969986,8.605999947,9.562000275,2.670000076,47.48799896,25.87999916,25.71
Ags1,wire-cg,3087.5,58.32600021,8.605999947,9.987000465,2.66899991,48.40800095,26.0510006,25.759
Ags1,wire-cg,3087.625,57.97999954,8.609999657,9.899000168,2.667000055,48.8390007,27.32999992,26.756
Ags1,wire-cg,3087.75,57.48300171,8.612999916,9.531000137,2.665999889,47.55500031,28.52700043,27.797
Ags1,wire-cg,3087.875,56.97600174,8.619000435,8.536999702,2.667000055,43.75099945,32.13899994,31.082
Ags1,wire-cg,3088,56.51200104,8.625,7.731999874,2.673000097,42.17599869,36.76100159,35.39
Ags1,wire-cg,3088.125,56.19599915,8.628000259,7.460000038,2.680999994,42.55699921,38.97499847,37.439
Ags1,wire-cg,3088.25,56.03699875,8.637000084,7.173999786,2.681999922,43.22200012,42.27000046,40.35
Ags1,wire-cg,3088.375,55.94599915,8.645000458,7.21600008,2.676000118,41.45899963,43.81299973,41.33
Ags1,wire-cg,3088.5,55.9679985,8.647999763,7.335000038,2.664999962,40.3429985,44.15000153,41.323
Ags1,wire-cg,3088.625,56.08499908,8.649999619,7.619999886,2.661999941,40.34899902,44.59999847,41.223
Ags1,wire-cg,3088.75,56.24300003,8.649000168,7.696000099,2.661999941,44.08000183,44.43299866,41.145
Ags1,wire-cg,3088.875,56.46699905,8.647999763,7.664000034,2.667999983,46.45199966,43.67399979,40.693
Ags1,wire-cg,3089,56.74000168,8.645999908,7.796000004,2.670000076,50.07899857,40.63100052,38.408
Ags1,wire-cg,3089.125,57.02700043,8.640000343,8.043000221,2.667999983,50.85300064,36.89599991,35.227
Ags1,wire-cg,3089.25,57.29000092,8.63599968,8.668000221,2.664999962,50.22800064,35.2140007,33.74
Ags1,wire-cg,3089.375,57.44400024,8.628000259,8.852000237,2.661000013,48.16600037,32.47200012,31.247
Ags1,wire-cg,3089.5,57.51300049,8.626000404,8.781999588,2.660000086,47.47999954,31.60499954,30.396
Ags1,wire-cg,3089.625,57.41400146,8.625,8.697999954,2.660000086,48.18700027,31.60700035,30.305
Ags1,wire-cg,3089.75,57.24900055,8.625,8.612000465,2.663000107,49.75699997,33.52500153,32.265
Ags1,wire-cg,3089.875,57.01699829,8.623999596,8.472999573,2.670000076,49.42399979,34.7840004,33.596
Ags1,wire-cg,3090,56.82899857,8.623999596,8.147999763,2.674000025,46.40599823,37.49700165,36.376
Ags1,wire-cg,3090.125,56.70100021,8.623999596,7.989999771,2.684999943,43.44900131,39.74399948,38.588
Ags1,wire-cg,3090.25,56.74300003,8.623999596,7.997000217,2.693000078,42.92900085,40.12900162,38.986
Ags1,wire-cg,3090.375,56.99599838,8.625,8.159999847,2.696000099,43.37099838,38.84999847,37.736
Ags1,wire-cg,3090.5,57.36399841,8.625,8.338999748,2.694000006,44.09400177,35.91699982,34.615
Ags1,wire-cg,3090.625,57.93000031,8.625,8.902000427,2.687999964,44.41400146,34.32099915,32.867
Ags1,wire-cg,3090.75,58.45100021,8.626000404,9.498000145,2.684999943,45.36600113,31.00300026,29.332
Ags1,wire-cg,3090.875,59.06399918,8.626000404,9.744999886,2.684999943,46.02299881,29.26099968,27.565
Ags1,wire-cg,3091,59.57400131,8.62899971,10.29399967,2.686000109,48.22499847,25.99099922,24.36
Ags1,wire-cg,3091.125,60.01200104,8.637999535,10.9659996,2.687000036,51.27600098,23.70400047,22.208
Ags1,wire-cg,3091.25,60.25299835,8.645000458,11.21000004,2.684999943,52.53300095,23.04999924,21.628
