wellName,datasetName,Depth,AC,CAL,CNL,DEN,GR,RT,RXO
,,M,us/ft,in,%,g/cm3,API,ohm.m,ohm.m
AMX11,wire-cg,3273.103,58.56999969,8.829999924,9.072999954,2.673000097,49.6780014,20.20100021,18.50300026
AMX11,wire-cg,3273.228,58.13100052,8.829999924,8.296999931,2.677999973,47.90000153,22.78000069,20.80400085
AMX11,wire-cg,3273.353,57.75,8.829000473,7.906000137,2.686000109,46.82300186,25.7329998,23.48699951
AMX11,wire-cg,3273.478,57.46300125,8.826999664,7.775000095,2.693000078,46.24200058,28.51799965,26.08200073
AMX11,wire-cg,3273.603,57.15499878,8.824000359,7.684000015,2.696000099,45.75400162,30.85300064,28.28199959
AMX11,wire-cg,3273.728,57.04100037,8.824999809,7.52699995,2.696000099,45.25899887,32.66699982,29.9470005
AMX11,wire-cg,3273.853,56.99300003,8.833000183,7.393000126,2.694000006,45.09799957,34.19499969,31.36100006
AMX11,wire-cg,3273.978,56.8769989,8.840999603,7.366000175,2.690999985,45.19300079,35.61999893,32.84000015
AMX11,wire-cg,3274.103,56.79000092,8.843000412,7.489999771,2.687999964,44.71900177,36.74399948,34.20500183
AMX11,wire-cg,3274.228,56.74499893,8.838999748,7.757999897,2.684999943,43.68199921,37.0340004,34.79000092
AMX11,wire-cg,3274.353,56.83200073,8.836000443,8.050000191,2.687999964,43.43899918,36.06600189,33.97800064
AMX11,wire-cg,3274.478,56.92100143,8.836999893,8.137999535,2.694999933,45.06100082,34.32899857,32.09600067
AMX11,wire-cg,3274.603,56.99499893,8.840999603,7.988999844,2.698999882,47.1570015,32.75899887,30.12199974
AMX11,wire-cg,3274.728,56.97299957,8.840999603,7.751999855,2.698999882,46.58499908,32.22999954,29.12800026
AMX11,wire-cg,3274.853,56.86100006,8.840000153,7.521999836,2.694999933,43.44100189,33.07600021,29.60000038
AMX11,wire-cg,3274.978,56.32500076,8.840999603,7.295000076,2.690000057,40.76499939,35.51300049,31.66699982
AMX11,wire-cg,3275.103,56,8.845000267,7.046999931,2.687999964,41.1230011,39.66199875,35.36800003
AMX11,wire-cg,3275.228,55.83599854,8.850000381,6.804999828,2.690000057,42.80899811,44.33599854,39.6629982
AMX11,wire-cg,3275.353,55.60200119,8.854000092,6.574999809,2.693000078,43.64599991,48.30500031,43.43399811
AMX11,wire-cg,3275.478,55.46699905,8.854000092,6.403999805,2.697999954,43.44800186,50.77199936,45.9090004
AMX11,wire-cg,3275.604,55.33000183,8.852000237,6.291999817,2.703000069,43.42300034,52.12400055,47.34799957
AMX11,wire-cg,3275.729,55.27299881,8.850000381,6.138999939,2.70600009,43.84999847,52.93000031,48.0870018
AMX11,wire-cg,3275.854,55.25999832,8.850000381,5.867000103,2.701999903,44.02700043,53.52000046,48.20399857
AMX11,wire-cg,3275.979,55.20800018,8.850999832,5.547999859,2.693000078,43.57799911,54.05699921,47.90200043
AMX11,wire-cg,3276.104,55.13600159,8.852000237,5.297999859,2.684000015,42.6570015,54.76100159,47.76100159
AMX11,wire-cg,3276.229,54.98099899,8.848999977,5.139999866,2.680999994,42.11299896,55.9129982,48.32699966
AMX11,wire-cg,3276.354,54.79100037,8.838000298,5.031000137,2.681999922,42.61800003,57.63800049,49.70199966
