wellName,datasetName,Depth,AC,CAL,CNL,DEN,GR,RT,RXO
,,M,us/ft,in,%,g/cm3,API,ohm.m,ohm.m
Amx16,wire-cg,3374.11,55.57799911,8.531000137,7.556000233,2.700999975,41.01200104,32.78499985,36.19800186
Amx16,wire-cg,3374.235,55.77600098,8.531000137,7.738999844,2.697000027,43.12099838,31.2840004,34.68199921
Amx16,wire-cg,3374.36,55.7140007,8.531000137,7.874000072,2.690999985,43.49100113,29.60700035,32.79600143
Amx16,wire-cg,3374.485,55.33000183,8.531999588,7.896999836,2.684999943,42.71300125,28.39699936,31.30999947
Amx16,wire-cg,3374.61,54.76900101,8.534999847,7.767000198,2.680000067,42.08100128,28.05900002,30.67200089
Amx16,wire-cg,3374.735,54.32300186,8.538999557,7.413000107,2.680000067,42.27299881,29.12700081,31.45499992
Amx16,wire-cg,3374.86,53.84700012,8.543000221,6.90199995,2.684000015,42.74200058,31.51099968,33.65499878
Amx16,wire-cg,3374.985,53.29899979,8.545999527,6.322999954,2.690000057,42.78499985,34.81299973,36.90599823
Amx16,wire-cg,3375.11,52.64799881,8.548000336,5.775000095,2.694999933,41.81000137,38.76399994,40.86700058
Amx16,wire-cg,3375.235,52.37799835,8.550000191,5.388999939,2.698999882,40.10300064,43.24300003,45.39400101
Amx16,wire-cg,3375.36,52.26800156,8.553999901,5.242000103,2.703000069,38.0870018,47.67300034,49.97600174
Amx16,wire-cg,3375.485,52.21900177,8.559000015,5.256999969,2.711999893,36.34700012,50.85400009,53.40599823
Amx16,wire-cg,3375.61,52.24599838,8.562999725,5.306000233,2.721999884,35.43700027,52.56000137,55.33599854
Amx16,wire-cg,3375.736,52.39400101,8.56400013,5.354000092,2.73300004,35.45999908,53.16899872,56.0929985
Amx16,wire-cg,3375.861,52.49700165,8.562999725,5.423999786,2.740999937,35.71900177,53.00400162,56.02600098
Amx16,wire-cg,3375.986,52.54100037,8.562999725,5.47300005,2.740999937,35.79000092,52.28099823,55.34700012
Amx16,wire-cg,3376.111,52.54899979,8.562999725,5.451000214,2.733999968,35.8390007,51.48699951,54.56200027
Amx16,wire-cg,3376.236,52.46699905,8.56400013,5.375,2.724999905,35.98500061,51.06900024,54.20100021
Amx16,wire-cg,3376.361,52.30099869,8.56400013,5.260000229,2.720000029,35.90000153,51.02399826,54.27799988
Amx16,wire-cg,3376.486,52.18999863,8.562000275,5.09499979,2.72300005,35.34400177,51.68399811,55.0019989
Amx16,wire-cg,3376.611,52.13999939,8.56000042,4.903999805,2.727999926,34.52000046,53.64300156,56.90000153
